Common Name,Scientific Name,Status,State
Northeastern beach tiger beetle,Habroscelimorpha dorsalis dorsalis,Threatened,All
Northern Aplomado Falcon,Falco femoralis septentrionalis,Endangered,All
Northern bald ibis,Geronticus eremita,Endangered,All
Northern Idaho Ground Squirrel,Urocitellus brunneus,Threatened,All
Northern Long-Eared Bat,Myotis septentrionalis,Endangered,All
Northern Mexican gartersnake,Thamnophis eques megalops,Threatened,All
Northern riffleshell,Epioblasma rangiana,Endangered,All
Northern Sea Otter,Enhydra lutris kenyoni,Threatened,All
Northern spotted owl,Strix occidentalis caurina,Threatened,All
Northern swift fox,Vulpes velox hebes,Endangered,All
Northern white rhinoceros,Ceratotherium simum cottoni,Endangered,All
Northern wild monkshood,Aconitum noveboracense,Threatened,All
North Pacific Right Whale,Eubalaena japonica,Endangered,All
North Park phacelia,Phacelia formosula,Endangered,All
Numbat,Myrmecobius fasciatus,Endangered,All
O`ahu `alauahio,Paroreomyza maculata,Endangered,All
Oahu elepaio,Chasiempis ibidis,Endangered,All
Oahu tree snails,Achatinella spp.,Endangered,All
Oceanic Hawaiian damselfly,Megalagrion oceanicum,Endangered,All
Oceanic whitetip shark,Carcharhinus longimanus,Threatened,All
Ocelot,Leopardus (=Felis) pardalis,Endangered,All
Ochlockonee moccasinshell,Medionidus simpsonianus,Endangered,All
Ocmulgee skullcap,Scutellaria ocmulgee,Endangered,All
Oha,Delissea subcordata,Endangered,All
Ohai,Sesbania tomentosa,Endangered,All
`Oha wai,Clermontia drepanomorpha,Endangered,All
`Oha wai,Clermontia lindseyana,Endangered,All
`Oha wai,Clermontia oblongifolia ssp. brevipes,Endangered,All
`Oha wai,Clermontia oblongifolia ssp. mauiensis,Endangered,All
`Oha wai,Clermontia peleana,Endangered,All
`Oha wai,Clermontia pyrularia,Endangered,All
`Oha wai,Clermontia samuelii,Endangered,All
`Ohe,Joinvillea ascendens ascendens,Endangered,All
`Ohe`ohe,Polyscias gymnocarpa,Endangered,All
Ohlone tiger beetle,Cicindela ohlone,Endangered,All
Okeechobee gourd,Cucurbita okeechobeensis ssp. okeechobeensis,Endangered,All
Olive ridley sea turtle,Lepidochelys olivacea,Threatened,All
Olive ridley sea turtle,Lepidochelys olivacea,Endangered,All
olua,Hypolepis hawaiiensis var. mauiensis,Endangered,All
Olulu,Brighamia insignis,Endangered,All
Olympia pocket gopher,Thomomys mazama pugetensis,Threatened,All
Opuhe,Urera kaalae,Endangered,All
Orange-bellied parakeet,Neophema chrysogaster,Endangered,All
Orangeblack Hawaiian damselfly,Megalagrion xanthomelas,Endangered,All
Orangefoot pimpleback (pearlymussel),Plethobasus cooperianus,Endangered,All
Orangenacre mucket,Hamiota perovalis,Threatened,All
Orangutan,Pongo pygmaeus,Endangered,All
Orcutt's spineflower,Chorizanthe orcuttiana,Endangered,All
Oregon silverspot butterfly,Speyeria zerene hippolyta,Threatened,All
Oregon spotted frog,Rana pretiosa,Threatened,All
Oriental white stork,Ciconia boyciana (=ciconia b.),Endangered,All
Orinoco crocodile,Crocodylus intermedius,Endangered,All
Osterhout milkvetch,Astragalus osterhoutii,Endangered,All
Otay mesa-mint,Pogogyne nudiuscula,Endangered,All
Otay tarplant,Deinandra (=Hemizonia) conjugens,Threatened,All
Ouachita fanshell,Cyprogenia sp. cf. aberti,Threatened,All
Ouachita rock pocketbook,Arcidens wheeleri,Endangered,All
`O`u (honeycreeper),Psittirostra psittacea,Endangered,All
Oval pigtoe,Pleurobema pyriforme,Endangered,All
Ovate clubshell,Pleurobema perovatum,Endangered,All
Owens pupfish,Cyprinodon radiosus,Endangered,All
Owens Tui Chub,Gila bicolor ssp. snyderi,Endangered,All
Oyster mussel,Epioblasma capsaeformis,Endangered,All
Ozark big-eared bat,Corynorhinus (=Plecotus) townsendii ingens,Endangered,All
Ozark cavefish,Amblyopsis rosae,Threatened,All
Ozark Hellbender,Cryptobranchus alleganiensis bishopi,Endangered,All
Pacific Hawaiian damselfly,Megalagrion pacificum,Endangered,All
"Pacific marten, Coastal DPS",Martes caurina,Threatened,All
Pacific pocket mouse,Perognathus longimembris pacificus,Endangered,All
Pacific sheath-tailed Bat,Emballonura semicaudata rotensis,Endangered,All
Pacific sheath-tailed Bat,Emballonura semicaudata semicaudata,Endangered,All
Pagi Island langur,Nasalis concolor,Endangered,All
Pagosa skyrocket,Ipomopsis polyantha,Endangered,All
Pahranagat roundtail chub,Gila robusta jordani,Endangered,All
Pahrump poolfish,Empetrichthys latos,Endangered,All
Pa`iniu,Astelia waialealae,Endangered,All
Painted rocksnail,Leptoxis taeniata,Threatened,All
Painted snake coiled forest snail,Anguispira picta,Threatened,All
Paiute cutthroat trout,Oncorhynchus clarkii seleniris,Threatened,All
Pakistan sand cat,Felis margarita scheffeli,Endangered,All
Palai la`au,Adenophorus periens,Endangered,All
Palapalai aumakua,Dryopteris crinalis var. podosorus,Endangered,All
Palawan peacock pheasant,Polyplectron emphanum,Endangered,All
Pale lilliput (pearlymussel),Toxolasma cylindrellus,Endangered,All
Palezone shiner,Notropis albizonatus,Endangered,All
Palila (honeycreeper),Loxioides bailleui,Endangered,All
Pallid manzanita,Arctostaphylos pallida,Threatened,All
Pallid sturgeon,Scaphirhynchus albus,Endangered,All
Palma de manaca,Calyptronoma rivalis,Threatened,All
Palmate-bracted bird's beak,Cordylanthus palmatus,Endangered,All
Palo colorado,Ternstroemia luquillensis,Endangered,All
Palo de jazmin,Styrax portoricensis,Endangered,All
Palo de nigua,Cornutia obovata,Endangered,All
Palo de ramon,Banara vanderbiltii,Endangered,All
Palo de rosa,Ottoschulzia rhodoxylon,Threatened,All
Palos Verdes blue butterfly,Glaucopsyche lygdamus palosverdesensis,Endangered,All
Pamakani,Tetramolopium capillare,Endangered,All
Pamakani,Viola chamissoniana ssp. chamissoniana,Endangered,All
Pampas deer,Ozotoceros bezoarticus,Endangered,All
Panama City crayfish,Procambarus econfinae,Threatened,All
Panamanian golden frog,Atelopus varius zeteki,Endangered,All
Panamanian jaguarundi,Herpailurus (=Felis) yagouaroundi panamensis,Endangered,All
Papala,Charpentiera densiflora,Endangered,All
Papery whitlow-wort,Paronychia chartacea,Threatened,All
Parachute beardtongue,Penstemon debilis,Threatened,All
Paradise parakeet,Psephotus pulcherrimus,Endangered,All
Pariette cactus,Sclerocactus brevispinus,Threatened,All
Parish's daisy,Erigeron parishii,Threatened,All
Parma wallaby,Macropus parma,Endangered,All
Paudedo,Hedyotis megalantha,Endangered,All
Pauoa,Ctenitis squamigera,Endangered,All
Pawnee montane skipper,Hesperia leonardus montana,Threatened,All
Peacock softshell turtle,Trionyx hurum,Endangered,All
Pearl darter,Percina aurora,Threatened,All
Pearl River Map Turtle,Graptemys pearlensis,Threatened,All
Peck's cave amphipod,Stygobromus (=Stygonectes) pecki,Endangered,All
Pecos amphipod,Gammarus pecos,Endangered,All
Pecos assiminea snail,Assiminea pecos,Endangered,All
Pecos bluntnose shiner,Notropis simus pecosensis,Threatened,All
Pecos gambusia,Gambusia nobilis,Endangered,All
"Pecos (=puzzle, =paradox) sunflower",Helianthus paradoxus,Threatened,All
Pedate checker-mallow,Sidalcea pedata,Endangered,All
Pederseni''s Tiger Spider,Poecilotheria vittata,Endangered,All
Peebles Navajo cactus,Pediocactus peeblesianus ssp. peeblesianus,Endangered,All
Peirson's milk-vetch,Astragalus magdalenae var. peirsonii,Threatened,All
Pelos del diablo,Aristida portoricensis,Endangered,All
Pelzeln's gazelle,Gazella dorcas pelzelni,Endangered,All
Penasco least chipmunk,Tamias minimus atristriatus,Endangered,All
peninsular bighorn sheep,Ovis canadensis nelsoni,Endangered,All
Peninsular pronghorn,Antilocapra americana peninsularis,Endangered,All
Penland alpine fen mustard,Eutrema penlandii,Threatened,All
Penland beardtongue,Penstemon penlandii,Endangered,All
Pennell's bird's-beak,Cordylanthus tenuis ssp. capillaris,Endangered,All
Peppered chub,Macrhybopsis tetranema,Endangered,All
Perdido Key beach mouse,Peromyscus polionotus trissyllepsis,Endangered,All
Persian fallow deer,Dama mesopotamica (=dama m.),Endangered,All
Persistent trillium,Trillium persistens,Endangered,All
Peruvian plantcutter,Phytotoma raimondii,Endangered,All
Peter's Mountain mallow,Iliamna corei,Endangered,All
Phantom Springsnail,Pyrgulopsis texana,Endangered,All
Phantom Tryonia,Tryonia cheatumi,Endangered,All
Philippine cockatoo,Cacatua haematuropygia,Endangered,All
Philippine crocodile,Crocodylus novaeguineae mindorensis,Endangered,All
Philippine eagle,Pithecophaga jefferyi,Endangered,All
Philippine tarsier,Tarsius syrichta,Threatened,All
Pied tamarin,Saguinus bicolor,Endangered,All
Pigeon wings,Clitoria fragrans,Threatened,All
Pig-footed bandicoot,Chaeropus ecaudatus,Endangered,All
Pillar Coral,Dendrogyra cylindrus,Threatened,All
pilo,Kadua laxiflora,Endangered,All
Pilo kea lau li`i,Melicope rostrata,Endangered,All
Pima pineapple cactus,Coryphantha scheeri var. robustispina,Endangered,All
Pine Hill ceanothus,Ceanothus roderickii,Endangered,All
Pine Hill flannelbush,Fremontodendron californicum ssp. decumbens,Endangered,All
Pineland sandmat,Chamaesyce deltoidea pinetorum,Threatened,All
Pink fairy armadillo,Chlamyphorus truncatus,Endangered,All
Pink-headed duck,Rhodonessa caryophyllacea,Endangered,All
Pink mucket (pearlymussel),Lampsilis abrupta,Endangered,All
Pink pigeon,Columba mayeri,Endangered,All
Piping Plover,Charadrius melodus,Endangered,All
Piping Plover,Charadrius melodus,Threatened,All
Pismo clarkia,Clarkia speciosa ssp. immaculata,Endangered,All
Pitcher's thistle,Cirsium pitcheri,Threatened,All
Pitkin Marsh lily,Lilium pardalinum ssp. pitkinense,Endangered,All
Plains wanderer (=collared-hemipode),Pedionomus torquatus,Endangered,All
Plicate rocksnail,Leptoxis plicata,Endangered,All
Plymouth Redbelly Turtle = Plymouth Redbelly Cooter,Pseudemys rubriventris bangsi,Endangered,All
Po`e,Portulaca sclerocarpa,Endangered,All
Point Arena mountain beaver,Aplodontia rufa nigra,Endangered,All
Polar bear,Ursus maritimus,Threatened,All
Pollen's vanga,Xenopirostris polleni,Threatened,All
Ponape greater white-eye,Rukia longirostra,Endangered,All
Ponape mountain starling,Aplonis pelzelni,Endangered,All
Pondberry,Lindera melissifolia,Endangered,All
Popolo,Cyanea solanacea,Endangered,All
Popolo,Solanum nelsonii,Endangered,All
Popolo ku mai,Solanum incompletum,Endangered,All
Poweshiek skipperling,Oarisma poweshiek,Endangered,All
Prairie bush-clover,Lespedeza leptostachya,Threatened,All
Preble's meadow jumping mouse,Zapus hudsonius preblei,Threatened,All
Presidio clarkia,Clarkia franciscana,Endangered,All
Presidio Manzanita,Arctostaphylos hookeri var. ravenii,Endangered,All
Preuss' red colobus monkey,Procolobus (=Colobus) preussi (=badius p.),Endangered,All
Prices potato-bean,Apios priceana,Threatened,All
Proboscis monkey,Nasalis larvatus,Endangered,All
Prostrate milkweed,Asclepias prostrata,Endangered,All
Przewalski's horse,Equus przewalskii,Endangered,All
Pua `ala,Brighamia rockii,Endangered,All
Puaiohi,Myadestes palmeri,Endangered,All
Pudu,Pudu pudu,Endangered,All
Puerto Rican boa,Chilabothrus inornatus,Endangered,All
Puerto Rican broad-winged hawk,Buteo platypterus brunnescens,Endangered,All
Puerto Rican crested toad,Peltophryne lemur,Threatened,All
Puerto Rican harlequin butterfly,Atlantea tulita,Threatened,All
Puerto Rican nightjar,Antrostomus noctitherus,Endangered,All
Puerto Rican parrot,Amazona vittata,Endangered,All
Puerto Rican plain Pigeon,Patagioenas inornata wetmorei,Endangered,All
Puerto Rican sharp-shinned hawk,Accipiter striatus venator,Endangered,All
Puritan tiger beetle,Ellipsoptera puritana,Threatened,All
Purple amole,Chlorogalum purpureum,Threatened,All
Purple bankclimber (mussel),Elliptoideus sloatianus,Threatened,All
Purple bean,Villosa perpurpurea,Endangered,All
Purple Cat's paw (=Purple Cat's paw pearlymussel),Epioblasma obliquata,Endangered,All
Purple-faced langur,Presbytis senex,Threatened,All
Pu`uka`a,Cyperus trachysanthos,Endangered,All
Pygmy chimpanzee,Pan paniscus,Endangered,All
Pygmy fringe-tree,Chionanthus pygmaeus,Endangered,All
Pygmy hog,Sus salvanius,Endangered,All
Pygmy madtom,Noturus stanauli,Endangered,All
Pygmy Rabbit,Brachylagus idahoensis,Endangered,All
Pygmy Sculpin,Cottus paulus (=pygmaeus),Threatened,All
Pyrenean ibex,Capra pyrenaica pyrenaica,Endangered,All
Queen Alexandra's birdwing butterfly,Troides alexandrae,Endangered,All
Queen Charlotte goshawk,Accipiter gentilis laingi,Threatened,All
Queen Conch,Aliger gigas,Threatened,All
Queensland hairy-nosed wombat (incl. Barnard's),Lasiorhinus krefftii (formerly L. barnardi and L. gillespiei),Endangered,All
Queensland rat-kangaroo,Bettongia tropica,Endangered,All
Quino checkerspot butterfly,Euphydryas editha quino (=E. e. wrighti),Endangered,All
Quokka,Setonix brachyurus,Endangered,All
Rabbit bandicoot,Macrotis lagotis,Endangered,All
Rabbitsfoot,Quadrula cylindrica cylindrica,Threatened,All
Railroad Valley springfish,Crenichthys nevadae,Threatened,All
Raso lark,Alauda razae,Endangered,All
Rayed Bean,Villosa fabalis,Endangered,All
Razorback sucker,Xyrauchen texanus,Threatened,All
Razor-billed curassow,Mitu mitu mitu,Endangered,All
Red-backed squirrel monkey,Saimiri oerstedii,Endangered,All
Red-bellied monkey,Cercopithecus erythrogaster,Endangered,All
Red-billed curassow,Crax blumenbachii,Endangered,All
Red-browed parrot,Amazona rhodocorytha,Endangered,All
Red-capped parrot,Pionopsitta pileata,Endangered,All
Red-cockaded woodpecker,Dryobates borealis,Threatened,All
Red-eared nose-spotted monkey,Cercopithecus erythrotis,Endangered,All
Red-faced malkoha (cuckoo),Phaenicophaeus pyrrhocephalus,Endangered,All
Red Hills salamander,Phaeognathus hubrichti,Threatened,All
Red Hills vervain,Verbena californica,Threatened,All
Red lechwe,Kobus leche,Threatened,All
Red-necked parrot,Amazona arausiaca,Endangered,All
Red siskin,Carduelis cucullata,Endangered,All
Red-spectacled parrot,Amazona pretrei pretrei,Endangered,All
Red-tailed parrot,Amazona brasiliensis,Endangered,All
Red wolf,Canis rufus,Endangered,All
Relict darter,Etheostoma chienense,Threatened,All
Relict gull,Larus relictus,Endangered,All
Relict trillium,Trillium reliquum,Endangered,All
Resplendent quetzel,Pharomachrus mocinno ssp. mocinno,Endangered,All
Reticulated flatwoods salamander,Ambystoma bishopi,Endangered,All
Reunion cuckoo-shrike,Coquus newtoni,Endangered,All
Rice's whale,Balaenoptera ricei,Endangered,All
rim rock crowned snake,Tantilla oolitica,Endangered,All
Ringed map turtle,Graptemys oculifera,Threatened,All
Ringed seal,Phoca (=Pusa) hispida ladogensis,Endangered,All
Ringed Seal,Phoca (=Pusa) hispida botnica,Threatened,All
Ringed Seal,Phoca (=Pusa) hispida hispida,Threatened,All
Ringed Seal,Phoca (=Pusa) hispida ochotensis,Threatened,All
Ring Pink,Obovaria retusa,Endangered,All
Rio de Oro Dama gazelle,Gazella dama lozanoi,Endangered,All
Rio Grande Silvery Minnow,Hybognathus amarus,Endangered,All
riparian brush rabbit,Sylvilagus bachmani riparius,Endangered,All
riparian woodrat (= San Joaquin Valley),Neotoma fuscipes riparia,Endangered,All
Riverside fairy shrimp,Streptocephalus woottoni,Endangered,All
River terrapin,Batagur baska,Endangered,All
Roan Mountain bluet,Hedyotis purpurea var. montana,Endangered,All
Robber Baron Cave Meshweaver,Cicurina baronia,Endangered,All
Robust spineflower,Chorizanthe robusta var. robusta,Endangered,All
Rock gnome lichen,Gymnoderma lineare,Endangered,All
Rodrigues fody,Foudia flavicans,Endangered,All
Rodrigues fruit bat (=flying fox),Pteropus rodricensis,Endangered,All
Rodrigues warbler (old world warbler),Bebrornis rodericanus,Endangered,All
Roseate tern,Sterna dougallii dougallii,Threatened,All
Roseate tern,Sterna dougallii dougallii,Endangered,All
Roswell springsnail,Pyrgulopsis roswellensis,Endangered,All
Rota blue damselfly,Ischnura luta,Endangered,All
Rota bridled white-eye,Zosterops rotensis,Endangered,All
Rothschild's starling (myna),Leucopsar rothschildi,Endangered,All
Rough Cactus Coral,Mycetophyllia ferox,Threatened,All
Rough hornsnail,Pleurocera foremani,Endangered,All
Rough-leaved loosestrife,Lysimachia asperulaefolia,Endangered,All
Rough pigtoe,Pleurobema plenum,Endangered,All
rough popcornflower,Plagiobothrys hirtus,Threatened,All
Rough rabbitsfoot,Quadrula cylindrica strigillata,Endangered,All
Round Ebonyshell,Reginaia rotulata,Endangered,All
Round hickorynut,Obovaria subrotunda,Threatened,All
Round Island bolyeria boa,Bolyeria multocarinata,Endangered,All
Round Island casarea boa,Casarea dussumieri,Endangered,All
Round Island day gecko,Phelsuma guentheri,Endangered,All
Round Island skink,Leiolopisma telfairi,Threatened,All
Round-leaved chaff-flower,Achyranthes splendens var. rotundata,Endangered,All
Round rocksnail,Leptoxis ampla,Threatened,All
Royal cinclodes,Cinclodes aricomae,Endangered,All
Royal marstonia (snail),Marstonia ogmorhaphe,Endangered,All
Roy Prairie pocket gopher,Thomomys mazama glacialis,Threatened,All
rufa red knot,Calidris canutus rufa,Threatened,All
Rugel's pawpaw,Deeringothamnus rugelii,Endangered,All
Rush Darter,Etheostoma phytophilum,Endangered,All
Rusty patched bumble bee,Bombus affinis,Endangered,All
Ruth's golden aster,Pityopsis ruthii,Endangered,All
Ryukyu rabbit,Pentalagus furnessi,Endangered,All
Ryukyu sika deer,Cervus nippon keramae,Endangered,All
Sacramento Mountains checkerspot Butterfly,Euphydryas anicia cloudcrofti,Endangered,All
Sacramento Mountains thistle,Cirsium vinaceum,Threatened,All
Sacramento Orcutt grass,Orcuttia viscida,Endangered,All
Sacramento prickly poppy,Argemone pleiacantha ssp. pinnatisecta,Endangered,All
Saimaa seal,Phoca hispida saimensis,Endangered,All
Saint Francis' satyr butterfly,Neonympha mitchellii francisci,Endangered,All
Sakhalin sturgeon,Acipenser mikadoi,Endangered,All
Salado Salamander,Eurycea chisholmensis,Threatened,All
Salmon-crested cockatoo,Cacatua moluccensis,Threatened,All
Salt Creek Tiger beetle,Cicindela nevadica lincolniana,Endangered,All
Salt marsh bird's-beak,Cordylanthus maritimus ssp. maritimus,Endangered,All
salt marsh harvest mouse,Reithrodontomys raviventris,Endangered,All
Saltwater crocodile,Crocodylus porosus,Threatened,All
Saltwater crocodile,Crocodylus porosus,Endangered,All
San Bernardino bluegrass,Poa atropurpurea,Endangered,All
San Bernardino Merriam's kangaroo rat,Dipodomys merriami parvus,Endangered,All
San Bernardino Mountains bladderpod,Lesquerella kingii ssp. bernardina,Endangered,All
San Bernardino springsnail,Pyrgulopsis bernardina,Threatened,All
San Bruno elfin butterfly,Callophrys mossii bayensis,Endangered,All
San Clemente Island woodland-star,Lithophragma maximum,Endangered,All
San Clemente loggerhead shrike,Lanius ludovicianus mearnsi,Endangered,All
Sand dune phacelia,Phacelia argentea,Threatened,All
Sand flax,Linum arenicola,Endangered,All
Sand gazelle,Gazella subgutturosa marica,Endangered,All
San Diego ambrosia,Ambrosia pumila,Endangered,All
San Diego button-celery,Eryngium aristulatum var. parishii,Endangered,All
San Diego fairy shrimp,Branchinecta sandiegonensis,Endangered,All
San Diego mesa-mint,Pogogyne abramsii,Endangered,All
San Diego thornmint,Acanthomintha ilicifolia,Threatened,All
Sandlace,Polygonella myriophylla,Endangered,All
Sandplain gerardia,Agalinis acuta,Endangered,All
Sand skink,Neoseps reynoldsi,Threatened,All
San Esteban Island chuckwalla,Sauromalus varius,Endangered,All
San Francisco garter snake,Thamnophis sirtalis tetrataenia,Endangered,All
San Francisco lessingia,Lessingia germanorum (=L.g. var. germanorum),Endangered,All
San Francisco Peaks ragwort,Packera franciscana,Threatened,All
San Jacinto Valley crownscale,Atriplex coronata var. notatior,Endangered,All
San Joaquin adobe sunburst,Pseudobahia peirsonii,Threatened,All
San Joaquin kit fox,Vulpes macrotis mutica,Endangered,All
San Joaquin Valley Orcutt grass,Orcuttia inaequalis,Threatened,All
San Joaquin wooly-threads,Monolopia (=Lembertia) congdonii,Endangered,All
San Marcos salamander,Eurycea nana,Threatened,All
San Mateo thornmint,Acanthomintha obovata ssp. duttonii,Endangered,All
San Mateo woolly sunflower,Eriophyllum latilobum,Endangered,All
San Rafael cactus,Pediocactus despainii,Endangered,All
Santa Ana River woolly-star,Eriastrum densifolium ssp. sanctorum,Endangered,All
Santa Ana sucker,Catostomus santaanae,Threatened,All
Santa Barbara Island liveforever,Dudleya traskiae,Endangered,All
Santa Catalina Island Fox,Urocyon littoralis catalinae,Threatened,All
Santa Clara Valley dudleya,Dudleya setchellii,Endangered,All
Santa Cruz cypress,Hesperocyparis abramsiana,Threatened,All
Santa Cruz Island bush-mallow,Malacothamnus fasciculatus var. nesioticus,Endangered,All
Santa Cruz Island fringepod,Thysanocarpus conchuliferus,Endangered,All
Santa Cruz Island malacothrix,Malacothrix indecora,Endangered,All
Santa Cruz Island rockcress,Sibara filifolia,Endangered,All
Santa Cruz long-toed salamander,Ambystoma macrodactylum croceum,Endangered,All
Santa Cruz tarplant,Holocarpha macradenia,Threatened,All
Santa Monica Mountains dudleyea,Dudleya cymosa ssp. ovatifolia,Threatened,All
Santa Rosa Island manzanita,Arctostaphylos confertiflora,Endangered,All
Sao Miguel bullfinch (finch),Pyrrhula pyrrhula murina,Endangered,All
Saudi Arabian gazelle,Gazella dorcas saudiya,Endangered,All
Sawback angelshark,Squatina aculeata,Endangered,All
Scaleshell mussel,Leptodea leptodon,Endangered,All
Scalloped Hammerhead Shark,Sphyrna lewini,Threatened,All
Scalloped Hammerhead Shark,Sphyrna lewini,Endangered,All
Scalloped Hammerhead Shark,Sphyrna lewini,Threatened,All
Scalloped Hammerhead Shark,Sphyrna lewini,Endangered,All
Scaly-tailed possum,Wyulda squamicaudata,Endangered,All
Scarlet-breasted robin (flycatcher),Petroica multicolor multicolor,Endangered,All
Scarlet macaw,Ara macao ssp. cyanopterus,Endangered,All
Scarlet macaw,Ara macao ssp. macao,Threatened,All
Schaus swallowtail butterfly,Heraclides aristodemus ponceanus,Endangered,All
Schweinitz's sunflower,Helianthus schweinitzii,Endangered,All
Scimitar-horned oryx,Oryx dammah,Endangered,All
Sclater's monal pheasant,Lophophorus sclateri,Endangered,All
Scotts Valley polygonum,Polygonum hickmanii,Endangered,All
Scotts Valley spineflower,Chorizanthe robusta var. hartwegii,Endangered,All
Scrub blazingstar,Liatris ohlingerae,Endangered,All
Scrub buckwheat,Eriogonum longifolium var. gnaphalifolium,Threatened,All
Scrub lupine,Lupinus aridorum,Endangered,All
Scrub mint,Dicerandra frutescens,Endangered,All
Scrub plum,Prunus geniculata,Endangered,All
Seabeach amaranth,Amaranthus pumilus,Threatened,All
sea bean,Mucuna persericea,Endangered,All
Sebastopol meadowfoam,Limnanthes vinculans,Endangered,All
Sei whale,Balaenoptera borealis,Endangered,All
Seledang,Bos gaurus,Endangered,All
Semper's warbler (=wood),Leucopeza semperi,Endangered,All
Sensitive joint-vetch,Aeschynomene virginica,Threatened,All
Sentry milk-vetch,Astragalus cremnophylax var. cremnophylax,Endangered,All
Serow,Naemorhedus (=Capricornis) sumatraensis,Endangered,All
Serpent Island gecko,Cyrtodactylus serpensinsula,Threatened,All
Seychelles fody (weaver-finch),Foudia sechellarum,Endangered,All
Seychelles kestrel,Falco araea,Endangered,All
Seychelles lesser vasa parrot,Coracopsis nigra barklyi,Endangered,All
Seychelles magpie-robin (thrush),Copsychus sechellarum,Endangered,All
Seychelles paradise flycatcher,Terpsiphone corvina,Endangered,All
Seychelles scops owl,Otus magicus (=insularis) insularis,Endangered,All
Seychelles turtle dove,Streptopelia picturata rostrata,Endangered,All
Seychelles warbler (old world warbler),Bebrornis sechellensis,Endangered,All
Seychelles white-eye,Zosterops modesta,Endangered,All
Shale barren rock cress,Boechera serotina,Endangered,All
Shansi sika deer,Cervus nippon grassianus,Endangered,All
Shapo,Ovis vignei vignei,Endangered,All
Shark Bay mouse,Pseudomys praeconis,Endangered,All
Sharpnose Shiner,Notropis oxyrhynchus,Endangered,All
Shasta crayfish,Pacifastacus fortis,Endangered,All
Sheepnose Mussel,Plethobasus cyphyus,Endangered,All
Shenandoah salamander,Plethodon shenandoah,Endangered,All
Shiny pigtoe,Fusconaia cor,Endangered,All
Shinyrayed pocketbook,Hamiota subangulata,Endangered,All
Shivwits milk-vetch,Astragalus ampullarioides,Endangered,All
Short-leaved rosemary,Conradina brevifolia,Endangered,All
Short-necked or western swamp turtle,Pseudemydura umbrina,Endangered,All
Shortnose sturgeon,Acipenser brevirostrum,Endangered,All
shortnose sucker,Chasmistes brevirostris,Endangered,All
Shortridge's mouse,Pseudomys shortridgei,Endangered,All
Short's bladderpod,Physaria globosa,Endangered,All
Short's goldenrod,Solidago shortii,Endangered,All
Short-tailed albatross,Phoebastria (=Diomedea) albatrus,Endangered,All
Shou,Cervus elaphus wallichi,Endangered,All
showy Indian clover,Trifolium amoenum,Endangered,All
Showy stickseed,Hackelia venusta,Endangered,All
Shrubby reed-mustard,Schoenocrambe suffrutescens,Endangered,All
Siamang,Symphalangus syndactylus,Endangered,All
Siamese crocodile,Crocodylus siamensis,Endangered,All
Siberian white Crane,Grus leucogeranus,Endangered,All
Sichuan snub-nosed monkey,Rhinopithecus roxellana,Endangered,All
Sickle darter,Percina williamsi,Threatened,All
Sierra Nevada bighorn sheep,Ovis canadensis sierrae,Endangered,All
Sierra Nevada red fox,Vulpes vulpes necator,Endangered,All
Sierra Nevada Yellow-legged Frog,Rana sierrae,Endangered,All
Sifakas,Propithecus spp.,Endangered,All
Siler pincushion cactus,"Pediocactus (=Echinocactus,=Utahia) sileri",Threatened,All
Silver rice rat,Oryzomys palustris natator,Endangered,All
Silverspot,Speyeria nokomis nokomis,Threatened,All
Simien fox,Canis simensis,Endangered,All
Sinaloan jaguarundi,Puma yagouaroundi tolteca,Endangered,All
Singapore roundleaf horseshoe bat,Hipposideros ridleyi,Endangered,All
Sira curassow,Pauxi koepckeae,Endangered,All
Slabside Pearlymussel,Pleuronaia dolabelloides,Endangered,All
Slackwater darter,Etheostoma boschungi,Threatened,All
Slender-billed curlew,Numenius tenuirostris,Endangered,All
Slender-billed Grackle,Quisicalus palustris,Endangered,All
Slender campeloma,Campeloma decampi,Endangered,All
Slender chub,Erimystax cahni,Threatened,All
Slenderclaw crayfish,Cambarus cracens,Endangered,All
Slender-horned gazelle,Gazella leptoceros,Endangered,All
Slender-horned spineflower,Dodecahema leptoceras,Endangered,All
Slender Orcutt grass,Orcuttia tenuis,Threatened,All
Slender-petaled mustard,Thelypodium stenopetalum,Endangered,All
Slender rush-pea,Hoffmannseggia tenella,Endangered,All
Slevin's skink,Emoia slevini,Endangered,All
Slickspot peppergrass,Lepidium papilliferum,Threatened,All
Small-anthered bittercress,Cardamine micranthera,Endangered,All
Smalleye Shiner,Notropis buccula,Endangered,All
Small's milkpea,Galactia smallii,Endangered,All
Smalltooth sawfish,Pristis pectinata,Endangered,All
Smalltooth sawfish,Pristis pectinata,Endangered,All
Small whorled pogonia,Isotria medeoloides,Threatened,All
Smith's blue butterfly,Euphilotes enoptes smithi,Endangered,All
Smoky madtom,Noturus baileyi,Endangered,All
Smoky mouse,Pseudomys fumeus,Endangered,All
Smoothback angelshark,Squatina oculata,Endangered,All
Smooth coneflower,Echinacea laevigata,Threatened,All
Snail [no common name],Eua zebrina,Endangered,All
Snail [no common name],Ostodes strigatus,Endangered,All
Snake River physa snail,Physella natricina,Endangered,All
Snakeroot,Eryngium cuneifolium,Endangered,All
Sneed pincushion cactus,Coryphantha sneedii var. sneedii,Endangered,All
Snow leopard,Uncia (=Panthera) uncia,Endangered,All
